im looking for a moderately priced restaurant that serves;inform 
thank you bye thank you bye;thankyou 
um want to find a moderately priced restaurant in the;inform 
any type is fine;inform 
what is the phone number and address;request 
im looking for a restaurant that serves world food;inform 
how about thai food;reqalts 
i dont care about the price range what about thai food;inform 
is there anything serving international food;reqalts 
the south part;inform 
how about in the center;reqalts 
where is it located;request 
what part of town is it located;request 
whats its price range;request 
could i have its phone number;request 
thank you very much good bye;thankyou 
im looking for an expensive restaurant in the south part of town;inform 
can i have the phone number;request 
post code;request 
im looking for vegetarian food on the east part of town;inform 
what about indian food;reqalts 
im looking for indian food;inform 
right;affirm 
im looking for a restaurant in the south part of town;inform 
moderately priced;inform 
im looking for a restaurant in the center;inform 
creative food;inform 
what about international type food;inform 
um how about a restaurant in the center with int;reqalts 
international food;inform 
the phone number;request 
the phone number for bloomsbury;request 
and the price range;request 
looking for a restaurant in west part of town serving cantonese;inform 
italian food;inform 
moderate;inform 
i want a polynesian restaurant in the north part of town;inform 
how about indian food;reqalts 
can i have their address please;request 
whats the price range;request 
can i have an;null 
restaurant serving english food;inform 
uh what about modern european;inform 
what about modern european food;inform 
okay what about modern european food;reqalts 
hi im looking for a restaurant in the;hello 
how about asian oriental type of food;reqalts 
is there a restaurant;reqalts 
im looking for a restaurant;inform 
in the north part of town;inform 
im looking for an expensive restaurant that serves european;inform 
and the area;request 
uh yes i want to find a restaurant in the north part of town that serves;affirm 
uh the north;inform 
mediterranean food;inform 
okay how about any area;reqalts 
okay how about any part of town;reqalts 
okay and uh can i get the address;request 
okay and whats the post code;request 
okay and uh the phone number;request 
okay thank you and good bye;bye 
im looking for a cheap restaurant in the south part of town;inform 
any kind;inform 
the address;request 
looking for something moderately priced on the north side of town;inform 
uh whats the address;request 
what about the phone number;request 
yes hi im looking for a restaurant in the north;affirm 
cantonese food;inform 
how about asian oriental food;reqalts 
i want the address and ph;request 
im looking for a restaurant in the south part of town that;inform 
i want chinese food;inform 
yes in the south of town;affirm 
and asian;inform 
pan asian;inform 
may i have the address;request 
french;inform 
price range;request 
so i dont care whats the address;inform 
what area of town is it;request 
alright thank you good bye;bye 
south part of town;inform 
any expensive;inform 
yes expensive;affirm 
address phone number post code;request 
id like a restaurant in the north part of town that serves tur;inform 
turkish;inform 
how about in any area;reqalts 
how about rest of town;reqalts 
could i have the area please;request 
im looking for a moderately priced restaurant in the south part of town;inform 
basque food;inform 
restaurant in the north part of town that serves;inform 
um hm;null 
address phone number and price range;request 
traditional;inform 
italian;inform 
im looking for a moderately priced rest;inform 
brazilian;inform 
what about gastropub type of foo;reqalts 
what about gasper gastropub type o;reqalts 
kay can i have the address phone number and the area;request 
was that in the east part of town west part of town;inform 
im looking for international food;inform 
i dont care about the price range;inform 
moderately priced in the west part of town;inform 
looking for a cheap restaurant serving portuguese food;inform 
what area is it in;request 
north part of town serving canapes food;inform 
im looking for an expensive restaurant that serves basque food;inform 
korean food;inform 
i want a restaurant in the north part of town that serves kosher;inform 
does it serve kosher food;confirm 
restaurant in the west part of town serving moroccan food;inform 
moroccan;inform 
how about moroccan food;reqalts 
moroccan food;inform 
okay let me try this again;repeat 
im looking for a restaurant that serves romanian food;inform 
okay how about;null 
place that serves portuguese food;inform 
how about a place that serves portuguese food;reqalts 
whats the address to that please;request 
im looking for a restaurant in the south;inform 
uh the south;inform 
greek food;inform 
how about chinese food;reqalts 
what about chinese;reqalts 
is doesnt matter;inform 
can i have the address;request 
can i have a cheap restaurant in the south part of town;inform 
yea im looking for a restaurant that serves basque food;inform 
what about indian;reqalts 
correct;affirm 
the west;inform 
okay whats the phone number;request 
can i get a restaurant in the east part of town that serves italian food;inform 
moderate restaurant seafood;inform 
child;null 
chinese food;inform 
the east;inform 
uh im looking for a cheap restaurant in the south part of town;inform 
any type of food;inform 
are there any other restaurants;reqalts 
can i get the address and phone number please;request 
im looking for restaurants in the east part of town;inform 
how about chinese;reqalts 
chinese;inform 
thank you can i have the address phone number;request 
and the postal code;request 
what about the address;request 
can you give me the phone number;request 
i want to find an expensive restaurant that serves hungarian food;inform 
hungarian;inform 
no;negate 
im looking for;inform 
does it serve hungarian food;confirm 
im looking for an expensive restaurant that serves hungarian;inform 
how about british food;reqalts 
i want to find an expensive restaurant that;inform 
what is the pri what is the telephone number;request 
could i have the address and phone number;request 
could i have the phone number;request 
moderate restaurant in the south part of town;inform 
uh price range;request 
i need a moderately priced restaurant;inform 
okay phone number;request 
can i get a moderate restaurant in the south part of town;inform 
can i get;null 
vegetarian;inform 
how about european;reqalts 
indian;inform 
anywhere;inform 
corsica;inform 
what is the area;request 
im looking for a cheap restaurant serving kosher food;inform 
what about chinese food;reqalts 
i want to find a moderately priced restaurant and it should serve;inform 
turkish food;inform 
id like a austrian restaurant in the south part of town;inform 
can i find a restaurant in the south that is moderately priced;inform 
any food;inform 
im looking for a cheap restaurant in the west part of town;inform 
american;inform 
indonesian food;inform 
itailian;inform 
worthless system;null 
i do not care;inform 
moderately priced restaurant halal food;inform 
halal;inform 
again please;repeat 
may i have the address and post code;request 
postal code;request 
thank;thankyou 
again;repeat 
repeat;repeat 
re;null 
fen ditton;null 
im looking for a restaurant in the north part of town that serves;inform 
greek;inform 
how about indians;reqalts 
could i have the address phone number and;request 
whats the price range again;request 
what type of food does it serve;request 
im looking for a cheap restaurant in the north part of town;inform 
kind i have the address;request 
im looking for a moderately priced restaurant;inform 
the south part of town;inform 
what food is available in the south part of town;request 
what is there anything else;reqalts 
okay may i get the address;request 
um im trying to find a restaurant in the unintelligible of town;inform 
uh indian;inform 
uh whats the address and the phone number;request 
african food;inform 
im looking for a moderately priced restaurant in the;inform 
im looking for a restaurant that serves corsica food;inform 
hi;hello 
i want a cheap restaurant in the east part of town;inform 
whats the address and phone number;request 
moderate price;inform 
um i want a restaurant in the north side of town and i want to eat christmas food;inform 
how about the address;request 
whats their phone number;request 
im looking for a restaurant in the south part of town that serves;inform 
austrian;inform 
is there a restaurant in the south part of town that serves indian food;reqalts 
cheap restaurant east of town;inform 
id like a restaurant in;inform 
in the center;inform 
cross over food;inform 
im looking for unintelligible food;inform 
how about indian;reqalts 
australian food;inform 
what about european food;reqalts 
what european food;inform 
is it european;confirm 
does it serve european type food;confirm 
and whats the phone number;request 
moderately priced restaurants;inform 
what type of food do they serve;request 
address phone number;request 
moderately priced restaurant japanese food;inform 
breath i dont care;inform 
moderately;inform 
west part of town;inform 
what is the;null 
in the south part of the town;inform 
uh can i have the address;request 
and phone number;request 
and whats the address;request 
yes i want the phone number;affirm 
im looking for a restaurant in the west part of town that serves;inform 
international;inform 
how about the center area;reqalts 
and whats the price range;request 
im looking for a restaurant in the west part of town and it sh;inform 
im looking for an expensive restaurant in the east;inform 
want to find a restaurant in the west part of town that serves german food;inform 
german food;inform 
id like a restaurant in the south part of town that serves cuban;inform 
cuban;inform 
id like a cheap restaurant that serves steakhouse;inform 
steakhouse;inform 
does it serve steakhouse food;confirm 
i would like steakhouse food;inform 
how about vietnamese food;reqalts 
i would like vietnamese food;inform 
im looking for a cheap;inform 
um in north;inform 
north part of town;inform 
may i have the address phone number and post code;request 
may i have the post code please;request 
i want to find a moderately;inform 
moderate restaurant catalan food;inform 
im looking for a restaurant in the west part of town that serves italian food;inform 
gastropub;inform 
what are the address and post code;request 
im looking for a cheap spanish restaurant;inform 
the adra;null 
the postcode;request 
okay looking for a cheap restaurant serving caribbean food;inform 
does it serve caribbean food;confirm 
how about caribbean food;reqalts 
im looking for mediterranean food;inform 
can i have an expensive restaurant;inform 
im looking for a moderately priced restaurant in the north part of town;inform 
and their address;request 
im looking for scandinavian food;inform 
scandanavian;inform 
im done thank you;thankyou 
okay good bye;bye 
can i have the venusian food;inform 
italian food in the south part of town;inform 
the post code;request 
im looking for a restaurant in the west part of town that serves caribbean;inform 
ad;null 
expensive expensive;inform 
what is their address;request 
cheap restaurant in the west part of town;inform 
i would like to find a restaurant;inform 
and the address;request 
cheap restaurant in he north part of town;inform 
what type of venue;request 
does not matter;inform 
gastro pub;inform 
how about moderately priced;reqalts 
looking for a moderately priced restaurant;inform 
serves british food;inform 
would like british food;inform 
british;inform 
where is it;request 
im looking for an expensive restaurant that serves english food;inform 
what about mediterranean food;inform 
im looking for a spanish restaurant;inform 
no spanish;negate 
im looking for a spanish food restaurant;inform 
no any area;negate 
what about other areas;inform 
what area;request 
i would like a cheap restaurant and it should;inform 
i would like a cheap restaurant it should serve ger;inform 
how about european food;reqalts 
what;null 
yeah;affirm 
may i have the address and phone number;request 
may i have the phone number;request 
perfect;affirm 
i need a restaurant in the east part of town;inform 
traditional food;inform 
restaurant indian restaurant;inform 
no in any area;negate 
mediterranean restaurant;inform 
a restaurant in;inform 
whats the postcode;request 
i want to find a moderately priced restaurant and it should be in the;inform 
south part of town south;inform 
breath im looking for a moderately priced restaurant in the east p;inform 
south part;inform 
can i have the post code;request 
whats the phone number and price range;request 
looking for a place that serves whole worl;null 
is there any serving vietnamese;inform 
what about vietnamese food;reqalts 
whats the addre;request 
im looking for world food;inform 
what are the address;request 
im looking for a restaurant in any area that serves austrian food;inform 
austrian food;inform 
how about mediterranean food;reqalts 
can i get an address and phone number;request 
can i get a post code;request 
ah can i find a unintelligible restaurant serving scotch food;inform 
ah scottish food;inform 
okay uh how bout british food;inform 
uh no im loo ah change it to british;negate 
ah how bout an expensive one;reqalts 
kay can i get their phone number please;request 
okay ah i think thatll do it thank you and goodbye;thankyou 
i need a moderately priced restaurant in the part of town;inform 
whats the type of food;request 
vietnamese;inform 
i want to find a moderately priced restaurant that serves fusion food;inform 
does it serve chinese type of food;confirm 
chinese chinese;inform 
ah yes can i get a restaurant that serves french food;affirm 
ah centre;inform 
ah yes that serves french food;affirm 
kay;ack 
ah whats the price ran;request 
okay and ah whats the price range;request 
okay and ah;ack 
what the addre;request 
and ah;null 
whats his addre;request 
kay um;ack 
thank you and goodbye;thankyou 
expensive restaurant east part of town;inform 
i want an expensive restaurant serving european food;inform 
im looking for an expensive restaurant in the east part of town;inform 
anything house;reqalts 
may i have the phone number and post code;request 
looking for an expensive restaurant that serves;inform 
any where;inform 
repeat that;repeat 
how about north american food;reqalts 
i need the phone number and post code;request 
moderately priced restaurant;inform 
spanish restaurant;inform 
uh;null 
im looking for a cheap restaurant serving russian food;inform 
uh what about chinese food;reqalts 
does it serve chinese food;confirm 
im looking for a cheap restaurant that serves;inform 
russian;inform 
i need a special restaurant serving christmas food;request 
what about british food;reqalts 
i need an expensive restaurant serving british food;inform 
signaporian;inform 
north american;inform 
and whats the post code;request 
i want a basque food restaurant;inform 
how about;null 
hi im looking for moderately priced;inform 
how about asian oriental;reqalts 
i would like asian oriental;inform 
i need the address and phone number;request 
can you tell me a restaurant in the south part of town;reqalts 
um i need a cheap restaurant;inform 
how about the phone number;request 
i dont care noise;inform 
venetian;inform 
id like a restaurant that serves turkish food;inform 
what is the address and post code;request 
hello hello oh your on the phone yea;hello 
find restaurant in north part of town serving fusion food;inform 
find restaurant in north part of town serving asian;inform 
find restaurant in north part of town;inform 
find restaurant serving asian;inform 
start over;restart 
find restaurant serving asian oriental;inform 
find;null 
find restaurant;inform 
serving asian oriental;inform 
yes danish food;affirm 
no danish;negate 
danish;inform 
do you have any asian oriental food;inform 
christmas;inform 
hello;hello 
not;negate 
im looking for a restaurant in the north part;inform 
can i have the phone number and the price range;request 
can i have the price range;request 
ah i dont care;inform 
the area;request 
what area of town;request 
thank you thank you goodbye;thankyou 
im looking for a restaurant in the east part of town that serves belgium food;inform 
is there a restaurant that serves indian food;reqalts 
can i have the address and phone number please;request 
in the west part of town;inform 
corsica food;inform 
i need a restaurant in the east part of town that serves creative;inform 
can i find a expensive restaurant that serves welsh food;inform 
can i get the phone number and area;request 
im looking for a restaurant that serves african food;inform 
and what is the post code;request 
i need an expensive restaurant that serves afghan food;inform 
whats the area;request 
need a restaurant serving brazilian food;inform 
how about turkish;reqalts 
find me a turkish restaurant;inform 
im looking for an expensive restaurant that serves european food;inform 
im looking for a restaurant that serves;inform 
um i dont care about the price;inform 
what is their post code;request 
great thank you good bye;thankyou 
im looking for korean food in any price range;inform 
what price range;request 
cheap spanish restaurant;inform 
i would like malaysian food in the center part of;inform 
i would like korean food;inform 
hello im looking for a cheap restaurant in the west part of town;hello 
what is la margheritas address;request 
i want a cheap hungarian food restaurant;inform 
i want a modern european;inform 
i want a restaurant serving;inform 
i want a modern european restaurant;inform 
modern european;inform 
halo food;inform 
im looking for a moderately priced restaurant that serves canapes;inform 
does it serve canapes;confirm 
what kind of food does it serve;request 
how about a turkish restaurant;reqalts 
belgium;inform 
no i want belgium food;negate 
belgium food;inform 
find a restaurant serving cannabis food;inform 
canopy;inform 
where are they located;request 
looking for a restaurant in the south part of town that serves persian;inform 
are there any that serves portuguese food;inform 
can i have the phone number and the address please;request 
im looking for vietnamese food in the north part of town;inform 
how about the west area;reqalts 
can i have the phone number please;request 
im looking for a cheap restaurant that serves cuban food;inform 
is there on serving chineese;inform 
what about chineese;reqalts 
yes do you have one with chinese;affirm 
okay i need the address;request 
the north;inform 
mexican;inform 
ah yes can i get ah expensive restaurant in the south part of town;affirm 
ah it doesnt matter;inform 
kay can i get the phone number;request 
kay and ah where is it located;request 
okay and ah wheres it located;request 
okay and whats the addre;request 
okay thank you and goodbye;thankyou 
barbecue food west part of town;inform 
noise thank you good bye;thankyou 
im looking for a welsh restaurant in the west part of town;inform 
im looking for a barbecue restaurant in the east part of town;inform 
how about an indian restaurant;reqalts 
how about an indian type food restaurant;reqalts 
im looking for a restaurant in the north part of town serving indonesian;inform 
no the north;negate 
yes in the north part of town;affirm 
how about italian;reqalts 
i need a cheap restaurant in the west part of town;inform 
alright whats the address;request 
im looking for a restaurant in the east part of town;inform 
what about any area;reqalts 
whats their address;request 
in the east part of town that serves spanish food;inform 
does it serve spanish food;confirm 
i need a restaurant in the;inform 
i need;null 
i need a place that serves spanish food;inform 
i need a restaurant that;inform 
how about a chinese restaurant;reqalts 
restaurant in the east part of town japanese;inform 
im looking for a cheap restaurant in the south of town;inform 
and;null 
korean food moderate price;inform 
korean food expensive;inform 
what is there in the north;inform 
i would like it to be cheap;inform 
what type of food is it;request 
the west part of town i want;inform 
bistro;inform 
i want italian food;inform 
im looking for a cheap restaurant that serves belgian food;inform 
cheap restaurant in west part of town;inform 
expensive mexican;inform 
i need a cheap restaurant that serves international food;inform 
im looking for a restaurant in the center that serves corsica;inform 
im looking for a restaurant in the center that serves international;inform 
european now;inform 
inaudible;null 
gastropub restaurant;inform 
anything else gastropub;reqalts 
i need a persian restaurant in the south part of town;inform 
persian;inform 
is that portuguese;confirm 
alright whats the phone number;request 
um expensive restaurant;inform 
east part;inform 
expensive price restaurant;request 
can i have the address and post code;request 
can i get the post code;request 
im looking for a moderately priced restaurant in the west part of town;inform 
west part of town creative food;inform 
yes creative food;affirm 
yes west part of town;affirm 
whats the post code;request 
hello im looking for a cheap;hello 
unintelligible restaurant;inform 
do they serve unintelligible food;confirm 
what kind of food do they serve;request 
how about unintelligible;null 
what do they serve;request 
what does rice house;inform 
serve;null 
okay what is their address;request 
what is their phone number;request 
and what kind of food do they serve;request 
persian food;inform 
i need a moderately priced restaurant serving world food;inform 
im looking for a restaurant in the north part of town;inform 
can i have the address of the phone number of the venue;request 
im looking for an expensive restaurant with venetian food;inform 
is there one with thai food;inform 
how about one with thai food;reqalts 
is there a restaurant serving thai food;reqalts 
im looking for a restaurant with thai type;inform 
looking for an expensive restaurant in the east of town;inform 
whats the address and the phone number;request 
ah yes im looking for persian food and i dont care about the pri;affirm 
um it doesnt matter;inform 
ah yes im looking for persian food though;affirm 
okay ah how bout portuguese;inform 
okay ah how bout portuguese food;inform 
okay um well how bout portuguese;inform 
ah yes;affirm 
no portuguese;negate 
okay and ah can i get their phone number please;request 
okay and they serve portuguese food correct;affirm 
okay uh thank you and goodbye;thankyou 
moderately priced restaurant that serves fusion food;inform 
id like a moderately priced restaurant in the east part of town;inform 
no moderately priced;negate 
id like a;null 
address and phone number please;request 
phone number please;request 
i want an expensive irish restaurant;inform 
an expensive italian restaurant;inform 
what part of town;request 
a restaurant in the north part of town;inform 
barbecue;inform 
french food;inform 
im looking for a moderate priced restaurant in the south part;inform 
im looking for a moderately priced restaurant that serves japanese food;inform 
how about modern european food;reqalts 
how about somewhere serving modern european;reqalts 
moderate european food;inform 
modern european food;inform 
im looking for a moderately;inform 
im looking for a restaurant that serves modern european food;inform 
is it moderately priced;confirm 
what is a phone number;request 
id like a restaurant in any area;inform 
no belgium;negate 
restaurant in the north part of town;inform 
serving catalan food;inform 
restaurant in north part of town;inform 
address phone number price range;request 
that serves romanian food;inform 
romanian;inform 
does it serve thai food;confirm 
malaysian;inform 
yea;affirm 
any time;inform 
i want to find a cheap restaurant in the south part of town;inform 
okay could you give me the phone number;request 
okay and what about the address;ack 
restaurant south part of town;inform 
portuguese;inform 
expensive restaurant in the south part of town;inform 
im looking for a restaurant in the west part of town that serves scottish;inform 
im looking for a restaurant in the west part of town;inform 
what about indian type of food;reqalts 
does it serve indian food;confirm 
im looking for a restaurant that serves indian food;inform 
anything;inform 
are there any restaurant serving corsica food;reqalts 
what about in the west side of town;reqalts 
may i have its address;request 
could i have its number;request 
may i have its number;request 
european european;inform 
number;null 
an expensive restaurant in the south part of town;inform 
south of town;inform 
basque;inform 
what kind of food;request 
moderately priced restaurant in the east;inform 
whats the phone number there;request 
and what type of food is that;request 
cheap restaurant west part of town;inform 
im looking for a restaurant in the center serving african food;inform 
can i have the address of the venue;request 
none;null 
how about mediterranean;reqalts 
do you got an address;request 
im looking for a portuguese restaurant;inform 
moderate priced;inform 
and whats their phone number;request 
looking for a moderately priced restaurant that serves cancun;inform 
test food;inform 
no im looking for a moderately priced restaurant that;negate 
canapes food;inform 
canapes;inform 
are there any;null 
uh is there any restaurant that serves indian food;reqalts 
i need a moderately priced restaurant in the south part of town;inform 
what is the address and telephone number;request 
and the telephone number;request 
can i get turkish food;inform 
need one in the west part of town;inform 
what food is available;request 
may i have the phone number please;request 
im looking for a cheap restaurant in the;inform 
now;null 
im looking for spanish food;inform 
whats the next one;reqalts 
i dont want that one whats another one;reqalts 
give me another choice;reqalts 
i dont want that give me another spanish choice;reqalts 
okay good whats the address for that one;request 
thats fine give me the address;request 
im looking for a restaurant in any area that;inform 
it doesnt matter to me;inform 
im looking for a moderately priced restaurant and it should be in the west part of town;inform 
dont matter;inform 
i want a restaurant that serves basque food;inform 
uh i want a restaurant that serves international food;inform 
a restaurant thats serving international food;inform 
uh find a restaurant in the west part of town and;inform 
uh thai food;inform 
um address;request 
cant repeat;repeat 
uh phone number;request 
prezzo;inform 
do you have prezzo;inform 
okay what was the name;request 
on the rest and the;null 
phone number again;request 
and price range;request 
okay um;ack 
thank you and good;thankyou 
i want to find a restaurant in any area;inform 
where is one;request 
im looking for european food;inform 
what about portuguese food;reqalts 
so;null 
telephone number;request 
restaurant north part of town;inform 
british food north part of town;inform 
uh korean food;inform 
im looking for a moderately priced restaurant that serves uh;inform 
what kind of food is it;request 
what about persian food;reqalts 
part of town;request 
nor;null 
okay ital;null 
no unintelligible;negate 
thank you good;thankyou 
im looking for a restaurant that serves british food;inform 
what about the center of town;reqalts 
looking for a singaporean restaurant in the center;inform 
im looking for singaporean food;inform 
singaporean food;inform 
i am looking for a moderately priced restaurant in the south;inform 
can i have the phone number and post code;request 
restaurant the serves english food;inform 
i want a restaurant that serves british food;inform 
is that in the center;confirm 
is it in the center of town;confirm 
i want a restaurant that serves british food in the center;inform 
can i have the corsica;inform 
asian;inform 
can i have asian food;inform 
the;null 
im looking for a moderately priced restaurant in the west part;inform 
great whats the address and phone number;request 
im looking for a restaurant in the west part of town that serves danish food;inform 
i need a restaurant in the center of town;inform 
kosher food;inform 
uh how about italian;reqalts 
afghan;inform 
afghan food;inform 
any of town;inform 
vietnamese anywhere;inform 
is it cheap;confirm 
thank you bye;thankyou 
swiss food;inform 
find a restaurant in the west part of town;inform 
signapore;inform 
how about india;reqalts 
i would like a moderately priced restaurant;inform 
system;null 
south town;inform 
cheap restaurant serving scandinavian food;inform 
cheap restaurant serving asian oriental;inform 
a cheap restauran;inform 
im looking for cheap food in the north of town;inform 
i want indonesian food;inform 
im looking for thai food;inform 
im looking for something in the south part of town that serves creative;inform 
right in the south part of town;affirm 
um how about chinese food in the south part of town;reqalts 
you said chinese food;inform 
is it chinese food though;confirm 
cool whats the address;request 
okay well thank you good bye;bye 
restaurant south;inform 
i would like to find a moderately priced;inform 
lebanese food;inform 
i am looking for persian food please;inform 
where is the location;request 
hi i am looking for a moderately priced restaurant in the east part of town;hello 
um anything;inform 
what kind of food do they have there;request 
im looking for moderate priced restaurant in the west;inform 
crossover food in the north part of town;inform 
id like a moderately priced restaurant that serves halal food;inform 
how about gastropub;reqalts 
does it serve gastropub;confirm 
id like a restaurant that serves gastropub food;inform 
what is what area is it in;request 
im looking for a cheap restaurant that sells welsh;inform 
yes in the cheap price range;affirm 
im looking for a cheap restaurant that serves mediterranean food;inform 
whats the phone number and post code;request 
can i get an expensive;inform 
can;null 
north american food;inform 
expensive north american;inform 
north american restaurant expensive;inform 
im looking for a restaurant in the north part of town and it should serve cata;inform 
catalan;inform 
how about indian type food;reqalts 
hi im looking for a restaurant;hello 
what about european;reqalts 
there;null 
what is the phone number of that venue;request 
okay thank you;thankyou 
im looking for a restaurant that has unintelligible;inform 
what about turkish;inform 
can i have the address phone number and post code;request 
for an expensive restaurant in the east part of town;inform 
i need a cheap restaurant in the south part of town;inform 
yeah can i um;affirm 
a restaurant in the west part of town should serve crossover food;inform 
um how about italian food;reqalts 
is there a restaurant serving italian food;reqalts 
restaurant in west part of town;inform 
shit served swiss food;inform 
viet;null 
address and;request 
i want to find a cheap restaurant that serves;inform 
kosher;inform 
and may i have the post code;request 
no north;negate 
who is it by;null 
australian;inform 
may i have the phone number and address please;request 
what is their address and phone number;request 
i can have the address the phone number and the post code of the;request 
south south;inform 
dont care moderate;inform 
i would like an expensive restaurant in the south part of town;inform 
im looking for a restaurant in the east part of town that serves traditional food;inform 
you good bye;bye 
i want to find a moderately priced restaurant in the east part of town;inform 
uh thank you good bye;thankyou 
id like a barbecue restaurant;inform 
what the address;request 
im looking for expensive spanish food;inform 
how about modern european;reqalts 
im looking for meditteranian;inform 
modern europene;null 
im;null 
moderately priced restaurant in the west part of town;inform 
address phone number and post code;request 
catalan food;inform 
can i;null 
okay what about another restaurant;reqalts 
how about gastropub food;reqalts 
can i find a restaurant with gastropub food;inform 
danish food;inform 
i am looking fora restaurant that should serve;inform 
north town;inform 
no north part of town;negate 
world food;inform 
im looking for an expensive restaurant;inform 
in the center that serves unintelligible asian;inform 
phone number and post code;request 
what type of food is there;request 
yea im looking for some spanish food;inform 
great whats its address;request 
looking for a restaurant in the center part of town;inform 
uh whats the phone number and post code;request 
i need to find a moderately priced restaurant;inform 
international type food;inform 
i need an expensive restaurant in the east part of town;inform 
uh i dont care;inform 
i want a restaurant in the west part of town that serves jamaican;inform 
jamaican;inform 
